,club,leagueCountry,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,Alpha_3,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,meanRating,yellowRed
1337,26,3,184.0,78.0,12,37,14,8,15,4,5,1,0,30,0.346856325519,86556.0,0.000466314437884,0.346856325519,91217.0,0.00250182405716,0.25,1.0
1338,28,2,185.0,79.0,2,207,73,49,85,91,16,0,0,24,0.336628162643,472689.0,6.30604990995e-19,0.336628162643,486414.0,0.0,0.0,0.0
1339,34,0,174.0,70.0,4,415,168,89,158,13,43,0,0,24,0.33108668948,1397801.0,0.000188808787143,0.33108668948,1456378.0,0.00135162606944,0.25,0.0
1340,39,2,179.0,72.0,3,97,43,18,36,2,11,1,4,24,0.336628162643,495936.0,0.0,0.336628162643,510336.0,0.0,0.0,1.0
1341,82,0,175.0,69.0,3,463,180,113,170,30,100,3,2,29,0.327731851907,2261997.0,0.00017980511535,0.327731851907,2368713.0,0.000996958521855,0.0,3.0
1342,48,0,177.0,64.0,8,215,86,52,77,47,5,0,0,29,0.326872893907,2980351.0,6.25297694161e-05,0.326872893907,3121943.0,0.000497259544243,0.75,0.0
1343,31,2,183.0,82.0,6,99,57,22,20,6,21,0,0,24,0.328748034956,2407023.0,9.73838768998e-05,0.328748034956,2475623.0,0.000825160498222,0.125,0.0
1344,11,2,191.0,85.0,6,178,86,47,45,6,22,0,1,24,0.335431389297,570343.0,0.000356716417038,0.335431389297,592690.0,0.00248720858741,0.0,0.0
1345,72,2,183.0,78.0,2,266,97,64,105,54,14,0,0,24,0.337159478583,428675.0,0.000178360775932,0.337159478583,441411.0,0.00186313413548,0.0,0.0
1346,25,2,179.0,72.0,9,226,96,58,72,11,17,0,0,24,0.337554180149,548341.0,0.000226676339189,0.337554180149,565739.0,0.00180901398614,0.0,0.0
1347,16,2,188.0,80.0,4,434,226,102,106,34,83,3,3,24,0.334665944098,887936.0,0.000333712646383,0.334665944098,923627.0,0.002159238781,0.0,3.0
1348,28,2,190.0,85.0,1,179,54,48,77,12,38,1,1,24,0.336774617704,516906.0,0.000137933956818,0.336774617704,531985.0,0.00144127381751,0.0,1.0
1349,81,0,178.0,70.0,10,393,163,94,136,40,58,0,0,29,0.327473289354,2863419.0,0.000178402552284,0.327473289354,2998779.0,0.00127030719794,0.0,0.0
1350,90,2,188.0,73.0,5,123,39,28,56,0,3,0,0,24,0.336866287827,447898.0,7.55045464121e-05,0.336866287827,460948.0,0.000632502821842,0.0,0.0
1351,0,2,190.0,88.0,2,145,63,36,46,40,19,1,2,24,0.33699902691,592738.0,0.00016241267171,0.33699902691,610092.0,0.00129210318539,0.0,1.0
1352,90,2,194.0,85.0,1,232,84,51,97,18,35,1,1,24,0.336358234796,498872.0,0.000429523317106,0.336358234796,517805.0,0.00253769854541,0.125,1.0
1353,25,2,179.0,67.0,4,142,58,37,47,6,20,0,1,24,0.336371652923,435843.0,0.000225131003342,0.336371652923,449521.0,0.00161185299664,0.0,0.0
1354,2,2,177.0,72.0,4,208,82,58,68,21,37,0,0,24,0.337071732774,587599.0,0.00030470982428,0.337071732774,606856.0,0.00288326936386,0.0,0.0
1355,76,2,172.0,78.0,0,162,54,34,74,22,23,2,1,24,0.336972331808,661363.0,0.000118344455298,0.336972331808,680666.0,0.00119413363103,0.0,2.0
1356,45,0,196.0,85.0,1,92,58,14,20,4,16,1,0,29,0.32987880634,548960.0,0.000342245569045,0.32987880634,574821.0,0.00227635989726,0.125,1.0
1357,52,3,168.0,69.0,2,186,74,43,69,32,17,0,2,30,0.353956731938,139713.0,0.000463305488277,0.353956731938,147510.0,0.00334599231612,0.0,0.0
1358,2,2,180.0,81.0,3,321,130,76,115,81,75,3,2,24,0.329567749527,2746359.0,0.000173767912785,0.329567749527,2826210.0,0.00099874732197,0.25,3.0
1359,76,2,180.0,83.0,8,160,65,39,56,31,12,2,0,24,0.336473613018,502132.0,0.000172932867032,0.336473613018,517741.0,0.000999298376952,0.0,2.0
1360,88,2,186.0,75.0,1,291,142,57,92,16,45,0,3,24,0.335948965099,652396.0,0.000367288617169,0.335948965099,676876.0,0.00284402157956,0.25,0.0
1361,6,0,173.0,73.0,12,23,13,3,7,5,0,0,0,29,0.327233905612,565193.0,3.34936482979e-05,0.327233905612,591888.0,0.000557180883239,0.5,0.0
1362,53,0,178.0,73.0,12,82,25,14,43,2,6,0,0,29,0.327273911301,1838238.0,0.000147365019588,0.327273911301,1925170.0,0.00112786048464,0.0,0.0
1363,91,0,178.0,71.0,12,341,129,87,125,88,31,0,2,29,0.327215421354,3563213.0,0.000137550931749,0.327215421354,3731766.0,0.000839623085178,0.25,0.0
1364,93,0,173.0,69.0,7,268,141,44,83,49,13,0,0,29,0.328144880597,2289158.0,0.00018739050864,0.328144880597,2396904.0,0.00107306384199,0.125,0.0
1365,60,0,168.0,64.0,11,459,209,111,139,57,22,1,0,29,0.327861417935,2554578.0,0.000189750993489,0.327861417935,2675052.0,0.00118345611172,1.0,1.0
1366,1,2,179.0,76.0,2,106,43,27,36,24,12,2,2,24,0.33709488063,521840.0,0.000114425220776,0.33709488063,537175.0,0.00114369614246,0.5,2.0
1367,8,0,188.0,84.0,5,648,264,175,209,0,20,0,1,29,0.328683619686,3170521.0,0.000262822429319,0.328683619686,3319391.0,0.00186162286304,0.0,0.0
1368,49,0,172.0,63.0,0,171,101,33,37,49,7,0,0,24,0.330652379898,975827.0,0.000307592341707,0.330652379898,1019681.0,0.00233960094472,0.25,0.0
1369,88,2,173.0,70.0,2,195,87,39,69,58,15,0,0,24,0.334106309795,611644.0,0.000335619059404,0.334106309795,636368.0,0.00260179189386,0.25,0.0
1370,53,0,191.0,84.0,12,392,160,97,135,75,34,0,1,29,0.327535942395,4449746.0,0.000141648417889,0.327535942395,4620596.0,0.000949268626202,1.0,0.0
1371,59,1,176.0,72.0,6,215,92,74,49,8,49,5,1,33,0.333571985979,347132.0,0.000918280734195,0.333571985979,363183.0,0.00464547666764,0.75,5.0
1372,95,1,175.0,72.0,11,464,246,124,94,72,55,3,0,33,0.333371827925,743448.0,0.000344983603979,0.333371827925,777579.0,0.00247181984036,0.875,3.0
1373,11,2,174.0,71.0,0,249,118,64,67,60,28,1,0,24,0.329285535439,2624959.0,0.000159943452633,0.329285535439,2701712.0,0.00112356866743,0.25,1.0
1374,57,1,185.0,73.0,12,7,3,3,1,0,0,0,1,33,0.339510400513,12878.0,0.0034783659911,0.339510400513,13624.0,0.0161080533395,0.75,0.0
1375,34,0,178.0,72.0,7,404,138,97,169,41,22,1,0,29,0.327941204539,2182200.0,0.000162375155128,0.327941204539,2285468.0,0.001255195207,0.25,1.0
1376,28,2,196.0,96.0,5,426,165,101,160,0,24,0,1,24,0.336519131845,520801.0,0.000176624819661,0.336519131845,537043.0,0.00187930918312,0.25,0.0
1377,89,2,190.0,82.0,1,236,103,61,72,10,43,1,1,47,0.341473613214,460958.0,0.000494958071629,0.341473613214,480662.0,0.0027146065579,0.0,1.0
1378,32,1,185.0,78.0,5,203,74,51,78,0,11,0,0,33,0.335053029479,461342.0,0.000140728391983,0.335053029479,478177.0,0.0012889075233,0.25,0.0
1379,11,2,191.0,83.0,4,463,223,90,150,59,36,0,1,24,0.335975910141,830949.0,0.000341426967341,0.335975910141,862574.0,0.00248332123072,0.0,0.0
1380,89,2,183.0,78.0,12,50,27,15,8,1,6,1,0,24,0.339380011079,148325.0,0.000457434938264,0.339380011079,152785.0,0.00370697097764,0.25,1.0
1381,38,2,191.0,88.0,1,129,57,31,41,4,16,0,2,24,0.340292682147,460867.0,0.000346072671386,0.340292682147,477693.0,0.00306078136287,0.0,0.0
1382,39,2,178.0,73.0,4,219,97,51,71,9,32,2,1,24,0.335770716941,588634.0,0.000233620400436,0.335770716941,608514.0,0.00237510452813,0.25,2.0
1383,86,3,178.0,71.0,10,187,71,48,68,25,31,3,0,30,0.337531632779,319229.0,0.00102072279615,0.337531632779,335244.0,0.00579877624867,0.5,3.0
1384,90,2,185.0,82.0,1,242,115,59,68,6,57,6,1,47,0.3374303915,645795.0,0.000422271103748,0.3374303915,674525.0,0.00247348422044,0.25,6.0
1385,25,2,178.0,65.0,0,47,20,9,18,10,5,0,0,24,0.336693660368,249854.0,1.72440237869e-05,0.336693660368,257106.0,8.07663579518e-05,0.0,0.0
1386,89,2,193.0,88.0,1,264,112,68,84,18,45,3,3,24,0.330550461126,1593231.0,0.000274879868892,0.330550461126,1665736.0,0.0018057475612,0.25,3.0
